包名,应用名称,最新版本,一级分类,所属主体,主体地址,开发者名称,开发者地址,应用描述,下载量,应用包渠道下载地址,是否有效,入库时间,更新时间,区域
com.sup.android.superb,皮皮虾,3.4.5,聊天社交,,,福建皮皮跳动科技有限公司,,皮这一下，很开心。,3.00亿,,,,2021年04月25日,
air.tv.douyu.android,斗鱼,7.0.5,影音视听,,,武汉瓯越网视有限公司,,【近期热点】英雄联盟：2021LPL春季赛震撼开启！斗鱼签约战队TES、JDG、V5、OMG与选手Doinb齐聚赛场，上斗鱼观赛，登场破万象！,8.00亿,,,,2021年04月19日,
com.ninexiu.sixninexiu,九秀直播,4.0.7,聊天社交,,,北京中润互联信息技术有限公司,,九秀直播，超多同城甜美妹子的手机秀场软件，靓女帅哥互动交友直播平台。热舞直播、靓女直播、才艺直播、女生直播、户外直播、游戏直播、花样吃播、新潮短视频……更多好看好玩的直播内容，尽在九秀直播！直播互动、视频交友、语音聊天，现在下载，即刻互动！,"1,273.00万",,,,2021年04月26日,
com.meelive.ingkee,映客直播,8.2.20,影音视听,,,北京蜜莱坞网络科技有限公司,,映客直播，高颜值直播平台，映客8.0，首页全新升级！直播、附近交友、声优派对，百万高颜值主播、用户在映客和你实时互动，你和ta从未如此靠近！和好看的人在映客不期而遇！,1.00亿,,,,2021年04月26日,
com.ss.android.ugc.aweme.lite,抖音极速版,14.3.0,摄影摄像,,,北京微播视界科技有限公司,,抖音，是中国广受欢迎的原创短视频分享平台。抖音极速版，内存更小，更省流量，使用流畅，为你提供多样有趣的短视频内容但更轻量。,32.00亿,,,,2021年04月27日,
tv.danmaku.bili,哔哩哔哩,6.23.5,影音视听,,,上海宽娱数码科技有限公司,,【纪录片】9.8分超高口碑自然纪录片《追踪海洋巨兽》，开启惊心动魄的深海探险！,31.00亿,,,,2021年04月27日,
com.youku.crazytogether,来疯直播,8.2.5,聊天社交,,,杭州来疯科技有限公司,,来疯是一款集直播，交友为一体的app。用户真实无骚扰，随时随地交到真朋友，轻松交友，快乐聊天，摆脱无聊孤单~更有众多优质主播，为您呈现视听盛宴，唱歌跳舞脱口秀，聆听直播圈的酸甜苦辣，认识最真实的主播~来疯帮你排解无聊，现在下载来疯，送你百元礼包，多种福利享不停，一起来疯玩吧！【花样直播】多种风格，懂你所有的小心思,577.00万,,,,2021年04月25日,
com.xunlei.tdlive,迅雷直播,3.57.971,影音视听,,,深圳市迅雷网络技术有限公司,,和附近的Ta一起聊天交友看直播~,81.00万,,,,2021年04月13日,
com.duowan.kiwi,虎牙直播,8.14.2,影音视听,,,广州虎牙信息科技有限公司,,技术驱动娱乐-弹幕式互动直播平台【近期热点】,12.00亿,,,,2021年04月25日,
tv.xiaoka.live,一直播,3.5.7,影音视听,,,小咖秀（北京）科技有限公司,,为什么半个娱乐圈都在用这个直播软件？为什么打开直播间就舍不得睡觉？别犹豫，逃不过真香定律，让你上瘾着迷的秘密在这里！数万主播24小时在线等你，人美歌甜在线求撩！,1.00亿,,,,2021年03月24日,
com.tencent.qqlive,腾讯视频,8.3.55.21939,影音视听,,,腾讯科技（北京）有限公司,,【精彩内容，现在就要】《骊歌行》：李一桐驯夫许凯，纨绔将军爆笑追妻,89.00亿,,,,2021年04月28日,
cn.v6.sixrooms,石榴直播,7.0.3.0428,影音视听,,,北京花房科技有限公司,,海量才艺主播24小时在线直播等你来玩，千万注册用户，百万人同时在线，真人在线K歌更好听，火辣视频热舞更好看，劲爆MC喊麦更震撼，在线热聊交友更有趣！石榴直播各种主播任你选，在这里总能找到你喜欢的小姐姐，在这里你可以视频交友、与清纯萌妹视频聊天，且直播类型花样百出，有唱歌跳舞，喊麦说唱，聊天逗乐，下载安装石榴直播，与小姐姐在线直播互动，看主播撒娇卖萌、唱歌跳舞，随时随地陪伴你，面对面劲爆畅聊，让你的生活充满欢乐!在“青少年模式”下，我们精选了一批适合未成年人观看的优质内容，且无法进行充值打赏、购买兑换、公聊评论、视频直播等互动性操作。每日22时至次日6时将无法使用。单日累计使用时长超过40分钟，需要监护人输入监护密码才能继续使用。,695.00万,,,,2021年04月28日,
cn.myhug.baobao,抱抱直播,8.9.34,影音视听,,,北京星河时代信息技术有限公司,,无美颜很真实/颜值真实的交友直播简介：抱抱直播是一个无美颜很真实的直播平台，所有主播都无美颜开播。,433.00万,,,,2021年04月16日,
com.tvbc.maiduidui,埋堆堆,4.0.11,影音视听,,,上海翡翠东方网络信息技术有限公司,,埋堆堆，tvb官方授权港剧粉丝聚集地，粤语粤文化内容平台。【看港剧，上埋堆堆】,"1,862.00万",,,,2021年04月22日,
com.qiyi.video,爱奇艺,12.4.0,影音视听,,,北京爱奇艺科技有限公司,,【精彩视频绝不剧荒】《小舍得》宋佳、蒋欣演绎异父异母的亲姐妹，张国立“端水”父亲难当,60.00亿,,,,2021年04月21日,
com.memezhibo.android,么么直播,8.7.1,影音视听,,,上海星艾网络科技有限公司,,么么直播-真人在线视频直播交友聊天社区！么么直播是一个娱乐社区型的24小时在线视频互动平台。集百万主播和众多粉丝，实时在线互动，让孤单远离，快乐常在。,"1,082.00万",,,,2021年04月22日,
com.letv.android.client,乐视视频,9.25.1,影音视听,,,乐视网信息技术（北京）股份有限公司,,【好剧播不停·接档更精彩】《刺杀小说家》杨幂雷佳音探寻奇幻小说世界,5.00亿,,,,2021年04月26日,
com.youku.phone,优酷视频,9.11.10,影音视听,,,优酷信息技术（北京）有限公司,,【精品内容，尽在优酷】,63.00亿,,,,2021年04月23日,
com.smallmike.weimai,微麦,1.2.9,聊天社交,,,海南知一行科技有限公司,,微麦，精彩有趣好玩的聊天交友软件，一个基于真实的开放性移动视频社交应用。全新的界面，海量有趣真实的用户，为你带来更棒的交友体验。,20.00万,,,,2021年04月27日,
