包名,应用名称,最新版本,一级分类,所属主体,主体地址,开发者名称,开发者地址,应用描述,下载量,应用包渠道下载地址,是否有效,入库时间,更新时间,区域
tv.danmaku.bili,哔哩哔哩,6.23.5,影音视听,,,上海宽娱数码科技有限公司,,【纪录片】9.8分超高口碑自然纪录片《追踪海洋巨兽》，开启惊心动魄的深海探险！,31.00亿,,,,2021年04月27日,
air.tv.douyu.android,斗鱼,7.0.5,影音视听,,,武汉瓯越网视有限公司,,【近期热点】英雄联盟：2021LPL春季赛震撼开启！斗鱼签约战队TES、JDG、V5、OMG与选手Doinb齐聚赛场，上斗鱼观赛，登场破万象！,8.00亿,,,,2021年04月19日,
com.tencent.qqlive,腾讯视频,8.3.55.21939,影音视听,,,腾讯科技（北京）有限公司,,【精彩内容，现在就要】《骊歌行》：李一桐驯夫许凯，纨绔将军爆笑追妻,89.00亿,,,,2021年04月28日,
com.qiyi.video,爱奇艺,12.4.0,影音视听,,,北京爱奇艺科技有限公司,,【精彩视频绝不剧荒】《小舍得》宋佳、蒋欣演绎异父异母的亲姐妹，张国立“端水”父亲难当,60.00亿,,,,2021年04月21日,
com.sup.android.superb,皮皮虾,3.4.5,聊天社交,,,福建皮皮跳动科技有限公司,,皮这一下，很开心。,3.00亿,,,,2021年04月25日,
com.youku.phone,优酷视频,9.11.10,影音视听,,,优酷信息技术（北京）有限公司,,【精品内容，尽在优酷】,63.00亿,,,,2021年04月23日,
com.ximalaya.ting.lite,喜马拉雅极速版,2.2.6.3,图书阅读,,,上海喜马拉雅科技有限公司,,上班路上，做家务时，累了一天，是时候让眼睛和心灵放松......,"6,486.00万",,,,2021年04月26日,
com.duowan.kiwi,虎牙直播,8.14.2,影音视听,,,广州虎牙信息科技有限公司,,技术驱动娱乐-弹幕式互动直播平台【近期热点】,12.00亿,,,,2021年04月25日,
com.tencent.qqmusic,QQ音乐,10.12.0.8,影音视听,,,腾讯音乐娱乐（深圳）有限公司,,【QQ音乐核心功能特点】1)千万正版高品质「音乐APP」,49.00亿,,,,2021年04月27日,
com.ninexiu.sixninexiu,九秀直播,4.0.7,聊天社交,,,北京中润互联信息技术有限公司,,九秀直播，超多同城甜美妹子的手机秀场软件，靓女帅哥互动交友直播平台。热舞直播、靓女直播、才艺直播、女生直播、户外直播、游戏直播、花样吃播、新潮短视频……更多好看好玩的直播内容，尽在九秀直播！直播互动、视频交友、语音聊天，现在下载，即刻互动！,"1,273.00万",,,,2021年04月26日,
com.kuaishou.nebula,快手极速版(天天领现金),9.3.30.1295,影音视听,,,北京快手科技有限公司,,【更快】小安装包，极速下载。浏览更省流量，运行丝滑流畅。,39.00亿,,,,2021年04月26日,
